BEHIPA_ID;BEZEICHNUNG;BEMERKUNG;ANZAHL;POLIZEI;STANDORT;PLZ;ORTSTEIL;GPS_LAT;GPS_LON;LETZTE_AENDERUNG;GPS_KOORDINATEN;KATEGORIE;LINK
2018;1 Behindertenparkplatz;(täglich) 9-22h;1;51;Boxhagener Straße 89;10245;Friedrichshain;52.50989714;13.46466567;18.09.2020;52.50989714, 13.46466567;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2019;1 Behindertenparkplatz;Mo-Fr 7-17h;1;53;Charlottenstraße 13;10969;Kreuzberg;52.50696453;13.39245598;18.09.2020;52.50696453, 13.39245598;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2020;1 Behindertenparkplatz;Durchgehend;1;51;Erich-Steinfurt-Straße (Ostbahnhof);10243;Friedrichshain;52.51143776;13.43418422;18.09.2020;52.51143776, 13.43418422;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2021;1 Behindertenparkplatz;Mo-Fr 12-18h;1;53;Falckensteinstraße 42;10997;Kreuzberg;52.49946020;13.44337267;18.09.2020;52.49946020, 13.44337267;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2022;2 Behindertenparkplätze;Mo-Fr 8-18h;2;51;Finowstraße 1;10247;Friedrichshain;52.51400245;13.46949851;18.09.2020;52.51400245, 13.46949851;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2023;1 Behindertenparkplatz;Mo-Fr  7-16h;1;53;Forster Straße 45;10999;Kreuzberg;52.49442546;13.43256871;18.09.2020;52.49442546, 13.43256871;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2024;2 Behindertenparkplätze;Mo - Fr 9-18h, Sa 9-14h;2;51;Frankfurter Allee 35 (vor Bezirksamt);10247;Friedrichshain;52.51515864;13.46159940;18.09.2020;52.51515864, 13.46159940;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2025;1 Behindertenparkplatz;Mo-Do 7-19h, Fr 7-16h;1;51;Frankfurter Allee 63;10247;Friedrichshain;52.51463276;13.46679495;18.09.2020;52.51463276, 13.46679495;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2026;1 Behindertenparkplatz;Do-So 15-22h;1;51;Frankfurter Allee 93;10247;Friedrichshain;52.51409093;13.47214057;18.09.2020;52.51409093, 13.47214057;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2027;2 Behindertenparkplätze;Mo-Fr 9-16h;2;53;Franz-Klühs-Straße (hinter Friedrichstr.);10969;Kreuzberg;52.50094140;13.39199278;18.09.2020;52.50094140, 13.39199278;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2028;1 Behindertenparkplatz;Mo-Fr 7-16h;1;51;Friedenstraße o.Nr. (Rückwärtig Pl.d.V.N. 1);10249;Friedrichshain;52.52440376;13.43129900;18.09.2020;52.52440376, 13.43129900;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2029;1 Behindertenparkplatz;Mo-Fr 9-18h, Sa 9-14h;1;51;Silvio-Meier-Str. 16;10247;Friedrichshain;52.51514358;13.46284870;18.09.2020;52.51514358, 13.46284870;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2030;2 Behindertenparkplätze;Mo-Fr 8-20h;2;51;Glatzer Straße 5;10247;Friedrichshain;52.50986024;13.46618565;18.09.2020;52.50986024, 13.46618565;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2031;2 Behindertenparkplätze;Mo-Fr  6-18h;2;53;Glogauer Straße 21;10999;Kreuzberg;52.49246146;13.43650873;18.09.2020;52.49246146, 13.43650873;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2032;1 Behindertenparkplatz;Mo-Fr 9-21h;1;52;Gneisenaustraße 3;10961;Kreuzberg;52.49254367;13.38862198;18.09.2020;52.49254367, 13.38862198;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2033;1 Behindertenparkplatz;Mo-Fr  8-18h;1;52;Gneisenaustraße 62;10961;Kreuzberg;52.48999461;13.40314790;18.09.2020;52.48999461, 13.40314790;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2034;1 Behindertenparkplatz;Durchgehend;1;53;Görlitzer Park;10997;Kreuzberg;52.49788969;13.43621620;18.09.2020;52.49788969, 13.43621620;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2035;2 Behindertenparkplätze;Mo-Fr 9-18h;2;52;Großbeerenstraße 15;10963;Kreuzberg;52.49744455;13.38471075;18.09.2020;52.49744455, 13.38471075;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2036;1 Behindertenparkplatz;Mo-Fr 8.30-18h;1;52;Großbeerenstraße 58;10965;Kreuzberg;52.49290848;13.38335851;18.09.2020;52.49290848, 13.38335851;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2037;2 Behindertenparkplätze;(täglich) 19-23h;2;53;Großbeerenstraße 87;10963;Kreuzberg;52.49915425;13.38545967;18.09.2020;52.49915425, 13.38545967;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2038;1 Behindertenparkplatz;Mo-Fr 8-18h;1;51;Grünberger Straße 25;10243;Friedrichshain;52.51265233;13.45168005;18.09.2020;52.51265233, 13.45168005;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2039;2 Behindertenparkplätze;Mo-Fr 7-20h;2;51;Grünberger Straße 43 - 45;10245;Friedrichshain;52.51213607;13.45480380;18.09.2020;52.51213607, 13.45480380;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2040;1 Behindertenparkplatz;werktags 7-18h;1;51;Gubener Straße 49;10243;Friedrichshain;52.51246625;13.44818468;18.09.2020;52.51246625, 13.44818468;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2041;1 Behindertenparkplatz;Mo-Fr 13-19h;1;51;Gubener Straße 50;10243;Friedrichshain;52.51266311;13.44803108;18.09.2020;52.51266311, 13.44803108;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2042;1 Behindertenparkplatz;Mo-Fr 8-19h;1;52;Hagelberger Straße 19 A;10965;Kreuzberg;52.49164143;13.38205871;18.09.2020;52.49164143, 13.38205871;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2043;1 Behindertenparkplatz;Durchgehend;1;52;Hagelberger Straße 34;10965;Kreuzberg;52.49161800;13.38081024;18.09.2020;52.49161800, 13.38081024;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2044;1 Behindertenparkplatz;Durchgehend;1;52;Hagelberger Straße 8;10965;Kreuzberg;52.49147050;13.38495100;18.09.2020;52.49147050, 13.38495100;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2045;1 Behindertenparkplatz;Mo-Do 8-18h, Fr 8-13h;1;52;Hasenheide 66;10967;Kreuzberg;52.48867634;13.40964911;18.09.2020;52.48867634, 13.40964911;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
