BEHIPA_ID;BEZEICHNUNG;BEMERKUNG;ANZAHL;POLIZEI;STANDORT;PLZ;ORTSTEIL;GPS_LAT;GPS_LON;LETZTE_AENDERUNG;GPS_KOORDINATEN;KATEGORIE;LINK
2067;1 Behindertenparkplatz;Mo-Fr 9-20h;1;52;Obentrautstraße 55;10963;Kreuzberg;52.49700407;13.38230519;18.09.2020;52.49700407, 13.38230519;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2068;1 Behindertenparkplatz;Mo-Fr 9-20h;1;53;Oppelner Straße 46/47;10997;Kreuzberg;52.50027136;13.44141242;18.09.2020;52.50027136, 13.44141242;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2069;2 Behindertenparkplätze;Mo-Fr 6-19.30h;2;53;Oranienstraße 106;10969;Kreuzberg;52.50642829;13.40047407;18.09.2020;52.50642829, 13.40047407;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2070;1 Behindertenparkplatz;Mo-Fr 7-19h;1;53;Oranienstraße 158;10969;Kreuzberg;52.50294418;13.41306863;18.09.2020;52.50294418, 13.41306863;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2071;1 Behindertenparkplatz;Durchgehend;1;53;Oranienstraße 192 (Heinrichplatz);10999;Kreuzberg;52.50018803;13.42263644;18.09.2020;52.50018803, 13.42263644;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2072;1 Behindertenparkplatz;Mo-Fr 7-15h;1;53;Oranienstraße 26;10999;Kreuzberg;52.50101690;13.42042095;18.09.2020;52.50101690, 13.42042095;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2073;1 Behindertenparkplatz;Mo-Fr 8-17h;1;53;Oranienstraße 56;10969;Kreuzberg;52.50340924;13.41172778;18.09.2020;52.50340924, 13.41172778;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2074;1 Behindertenparkplatz;Mo-Fr 10-20h;1;51;Palisadenstraße 46;10243;Friedrichshain;52.51852254;13.43943535;18.09.2020;52.51852254, 13.43943535;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2075;4 Behindertenparkplätze;Mo-Fr 6-8h, 13-15h;4;53;Paul-Lincke-Ufer 42/43;10999;Kreuzberg;52.49611982;13.42137004;18.09.2020;52.49611982, 13.42137004;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
2076;2 Behindertenparkplätze;Mo-Fr 8-18h;2;51;Petersburger Straße 90;10247;Friedrichshain;52.51754341;13.45308508;18.09.2020;52.51754341, 13.45308508;Parkplatz;"<a href=""https://service.berlin.de/dienstleistung/326453/"" target=""BLANK"">Dienstleistung</a>"
